,Company,Product,Total Company response to consumer Complaints
465,ALLY FINANCIAL INC.,Checking or savings account,0
466,ALLY FINANCIAL INC.,Checking or savings account,0
467,ALLY FINANCIAL INC.,Checking or savings account,0
468,ALLY FINANCIAL INC.,Credit card or prepaid card,38
469,ALLY FINANCIAL INC.,Credit card or prepaid card,0
470,ALLY FINANCIAL INC.,Credit card or prepaid card,2
471,ALLY FINANCIAL INC.,Credit card or prepaid card,3
472,ALLY FINANCIAL INC.,Credit card or prepaid card,0
473,ALLY FINANCIAL INC.,Credit card or prepaid card,0
474,ALLY FINANCIAL INC.,Credit card or prepaid card,0
475,ALLY FINANCIAL INC.,Credit card or prepaid card,0
476,ALLY FINANCIAL INC.,Credit card or prepaid card,0
477,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",2546
478,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",76
479,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",7
480,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",138
481,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
482,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
483,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
484,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
485,ALLY FINANCIAL INC.,"Credit reporting, credit repair services, or other personal consumer reports",0
486,ALLY FINANCIAL INC.,Debt collection,889
487,ALLY FINANCIAL INC.,Debt collection,12
488,ALLY FINANCIAL INC.,Debt collection,20
489,ALLY FINANCIAL INC.,Debt collection,53
490,ALLY FINANCIAL INC.,Debt collection,0
491,ALLY FINANCIAL INC.,Debt collection,1
492,ALLY FINANCIAL INC.,Debt collection,0
493,ALLY FINANCIAL INC.,Debt collection,0
494,ALLY FINANCIAL INC.,Debt collection,0
495,ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",65
496,ALLY FINANCIAL INC.,"Money transfer, virtual currency, or money service",2
